epoch,train_loss,train_acc_pct,val_loss,val_acc_pct
1,0.3795,88.2,0.4421,55.79
2,0.3302,91.9,0.4645,53.55
3,0.3119,93.12,0.3821,61.79
4,0.3007,93.89,0.3424,65.76
5,0.2924,94.4,0.4247,57.53
6,0.2874,94.76,0.4016,59.84
7,0.2813,95.12,0.4881,51.19
8,0.007,95.92,0.4937,50.63
9,0.2718,95.67,0.4533,54.67
10,0.3607,89.79,0.4822,51.78
11,0.31,93.11,0.4708,52.92
12,0.2993,93.88,0.4554,54.46
13,0.2914,94.41,0.4614,53.86
14,0.2834,94.94,0.4564,54.36
15,0.278,95.26,0.4445,55.55
16,0.2763,95.38,0.4518,54.82
17,0.2716,95.76,0.4446,55.54
18,0.2697,95.81,0.4438,55.62
19,0.2683,96.0,0.4555,54.45
20,0.2664,96.08,0.4452,55.48
21,0.2644,96.22,0.4509,54.91
22,0.2644,96.19,0.4448,55.52
23,0.2646,96.17,0.449,55.1
24,0.2627,96.35,0.4462,55.38
25,0.2629,96.31,0.4436,55.64
