epoch,train_loss,train_acc_pct,val_loss,val_acc_pct
1,0.3298,92.08,0.4157,58.43
2,0.2782,95.25,0.4031,59.69
3,0.2652,96.01,0.407,59.3
4,0.2575,96.43,0.3843,61.57
5,0.2522,96.74,0.3719,62.81
6,0.2481,96.98,0.3855,61.45
7,0.2453,97.22,0.3778,62.22
8,0.2418,97.41,0.4196,58.04
9,0.2404,97.54,0.3877,61.23
10,0.2379,97.64,0.3978,60.22
11,0.2317,98.05,0.3845,61.55
12,0.2302,98.12,0.3665,63.35
13,0.2289,98.19,0.3694,63.06
14,0.2254,98.41,0.3729,62.71
15,0.2239,98.5,0.3781,62.19
16,0.2237,98.54,0.3695,63.05
17,0.2221,98.62,0.3917,60.83
18,0.2213,98.67,0.3693,63.07
19,0.2209,98.69,0.3862,61.38
20,0.22,98.74,0.3844,61.56
